name,lat,lng,address,city,state,postal_code
Valter's,40.7627222394581,-111.89621573512564,173 W Broadway,Salt Lake City,UT,84101
Takashi,40.76182438840147,-111.89166296164,18 W Market St,Salt Lake City,UT,84101
The Copper Onion,40.762856930346494,-111.88747149327294,111 E Broadway #170,Salt Lake City,UT,84111
Tony Caputo's Market & Deli,40.7631153110494,-111.90047810582264,308 W Broadway,Salt Lake City,UT,84101
Even Stevens Sandwiches,40.764635599826335,-111.87904666842637,200 South 414 East,Salt Lake City,UT,84111
Siegfried's Delicatessen,40.76503541990226,-111.89205989903893,20 W 200 S,Salt Lake City,UT,84101
Eva's Bakery,40.76578932405195,-111.89082815252097,155 S Main St,Salt Lake City,UT,84111
Les Madeleines,40.75828218833597,-111.88467543813462,216 E 500 S,Salt Lake City,UT,84111
Buds,40.76300146863668,-111.87633221296466,509 E 300 S,Salt Lake City,UT,84102
Settebello Pizzeria,40.763471841357045,-111.89726970356156,260 S 200 W,Salt Lake City,UT,84101
Gourmandise - The Bakery,40.76381607648126,-111.8830002839329,250 S 300 E,Salt Lake City,UT,84111
The Rose Establishment,40.7640947765476,-111.9022840887633,235 S 400 W,Salt Lake City,UT,84101
Vertical Diner and the Jade Room,40.74994351860519,-111.89786568290492,234 W 900 S,Salt Lake City,UT,84101
J Dawgs,40.762087,-111.89059499999999,341 S Main St,Salt Lake City,UT,84111
La-Cai Noodle House,40.74820650220776,-111.88797871944917,961 S State St,Salt Lake City,UT,84111
Moochie's Meatballs and More!,40.751758564986865,-111.88412712305885,232 E 800 S,Salt Lake City,UT,84111
Sapa,40.75354721436022,-111.88851516232371,722 S State St,Salt Lake City,UT,84111
Boltcutter,40.764733,-111.88939599999999,61 E Gallivan Ave,Salt Lake City,UT,84111
Oh Mai,40.750809999999994,-111.888575,850 S State St,Salt Lake City,UT,84111
Red Iguana,40.77167732469157,-111.91250234444355,736 W North Temple,Salt Lake City,UT,84116
The Bagel Project,40.75221559881909,-111.876516868449,779 S 500 E,Salt Lake City,UT,84102
Banbury Cross,40.75374892235127,-111.87071016656397,705 S 700 E,Salt Lake City,UT,84102
Greek Souvlaki,40.76267854589748,-111.87930324964734,404 East Broadway,Salt Lake City,UT,84111
Brio Tuscan Grille,40.7675318,-111.88989,80 S Regent St,Salt Lake City,UT,84111
R&R BBQ,40.755812377766425,-111.90003268163319,307 W 600 S,Salt Lake City,UT,84101
Red Iguana 2,40.7697224553498,-111.91610829207085,866 W South Temple,Salt Lake City,UT,84104
